City_ID,Cities,Country,Date,Max Temp,Lat,Lng,Humidity,Wind Speed,Cloudiness
0,pathein,MM,5/22/20,84.15,16.78,94.73,77,8.81,2
1,darnah,LY,5/22/20,70.81,32.77,22.64,68,21.21,44
2,kaitangata,NZ,5/22/20,52,-46.28,169.85,60,3,3
3,chokurdakh,RU,5/22/20,20.75,70.63,147.92,96,5.03,82
4,parrita,CR,5/22/20,78.8,9.52,-84.32,65,8.05,40
5,rikitea,PF,5/22/20,71.42,-23.12,-134.97,68,21.16,25
6,jamestown,US,5/22/20,64,42.1,-79.24,77,8.05,90
7,caravelas,BR,5/22/20,79.25,-17.71,-39.25,76,4.99,13
8,vetovo,BG,5/22/20,62.29,43.7,26.27,56,1.36,22
9,hobart,AU,5/22/20,39.2,-42.88,147.33,86,10.29,0
10,saint-philippe,RE,5/22/20,75.2,-21.36,55.77,73,27.51,20
11,hasaki,JP,5/22/20,59,35.73,140.83,100,2.24,75
12,vaxjo,SE,5/22/20,64.4,56.88,14.81,31,13.87,28
13,avarua,CK,5/22/20,75.2,-21.21,-159.78,88,18.34,100
14,emba,KZ,5/22/20,81.25,48.83,58.14,41,9.93,17
15,lata,PT,5/22/20,81,40.16,-8.33,53,8.14,98
16,mataura,NZ,5/22/20,43.7,-46.19,168.86,90,3.02,11
17,yellowknife,CA,5/22/20,41,62.46,-114.35,60,10.29,75
18,kano,NG,5/22/20,95,12,8.52,39,12.75,34
19,mason city,US,5/22/20,57.99,43.15,-93.2,93,11.41,90
20,bagotville,AU,5/22/20,53.6,-28.98,153.42,66,10.29,52
21,esso,RU,5/22/20,28.26,55.93,158.7,94,5.3,44
22,mayumba,GA,5/22/20,83.57,-3.43,10.66,71,7.4,53
23,ubinskoye,RU,5/22/20,61.99,55.31,79.68,44,0.74,0
24,jieshi,CN,5/22/20,75.67,22.81,115.83,91,14.81,100
25,ojuelos de jalisco,MX,5/22/20,65.59,21.87,-101.58,27,3.33,0
26,busselton,AU,5/22/20,51.01,-33.65,115.33,56,8.25,99
27,ushuaia,AR,5/22/20,51.8,-54.8,-68.3,43,11.41,75
28,piranshahr,IR,5/22/20,77.29,36.7,45.14,27,8.52,0
29,turukhansk,RU,5/22/20,74.86,65.82,87.98,28,9.46,0
30,hilo,US,5/22/20,71.6,19.73,-155.09,83,8.05,90
31,khakhea,BW,5/22/20,75.38,-24.69,23.49,21,7.49,0
32,lebu,CL,5/22/20,52.21,-37.62,-73.65,48,2.26,23
33,port-gentil,GA,5/22/20,87.8,-0.72,8.78,70,12.75,40
34,baculin,PH,5/22/20,80.31,7.45,126.58,79,3.31,100
35,ngaoundere,CM,5/22/20,80.64,7.32,13.58,62,2.39,47
36,esperance,AU,5/22/20,51.8,-33.87,121.9,81,10.29,74
37,taksimo,RU,5/22/20,50.23,56.34,114.88,59,4.63,46
38,kahului,US,5/22/20,75.2,20.89,-156.47,73,8.05,75
39,qaanaaq,GL,5/22/20,33.73,77.48,-69.36,84,3.76,0
40,tuktoyaktuk,CA,5/22/20,30.2,69.45,-133.04,86,6.93,5
41,barrow,US,5/22/20,24.8,71.29,-156.79,85,16.11,40
42,green river,US,5/22/20,55.4,41.53,-109.47,28,4.7,1
43,vila franca do campo,PT,5/22/20,60.8,37.72,-25.43,93,11.41,75
44,saskylakh,RU,5/22/20,44.56,71.92,114.08,93,7.7,100
45,thompson,CA,5/22/20,33.8,55.74,-97.86,90,12.75,90
46,quatre cocos,MU,5/22/20,75.2,-20.21,57.76,64,17.22,40
47,havre-saint-pierre,CA,5/22/20,46.4,50.23,-63.6,36,19.46,40
48,beringovskiy,RU,5/22/20,29.89,63.05,179.32,98,13.42,100
49,pevek,RU,5/22/20,23.7,69.7,170.31,97,2.17,45
50,lisala,CD,5/22/20,89.38,2.15,21.52,52,2.98,46
51,kiama,AU,5/22/20,55,-34.68,150.87,77,11.99,100
52,tailai,CN,5/22/20,58.91,46.38,123.4,72,3.94,100
53,cherskiy,RU,5/22/20,28.27,68.75,161.3,95,15.77,79
54,bambous virieux,MU,5/22/20,75.2,-20.34,57.76,64,17.22,40
55,portland,US,5/22/20,48.2,45.52,-122.68,81,6.93,75
56,oistins,BB,5/22/20,86,13.07,-59.53,66,18.34,20
57,mahebourg,MU,5/22/20,75.2,-20.41,57.7,64,17.22,40
58,gornopravdinsk,RU,5/22/20,58.23,60.05,69.9,69,7.14,92
59,bredasdorp,ZA,5/22/20,69.8,-34.53,20.04,40,11.41,0
60,tiznit,MA,5/22/20,91.98,29.58,-9.5,20,11.03,0
61,nhulunbuy,AU,5/22/20,75.2,-12.23,136.77,73,10.29,75
62,erice,IT,5/22/20,73.4,38.04,12.59,78,12.75,0
63,carnarvon,AU,5/22/20,66.83,-24.87,113.63,35,5.19,0
64,vaini,TO,5/22/20,62.6,-21.2,-175.2,100,11.23,40
65,asau,RO,5/22/20,61,46.43,26.4,36,8.05,40
66,xinxiang,CN,5/22/20,76.3,35.31,113.87,20,1.43,1
67,constitucion,CL,5/22/20,57.49,-35.33,-72.42,43,3.44,4
68,gardez,AF,5/22/20,48.2,33.6,69.23,81,4.61,1
69,dong hoi,VN,5/22/20,83.73,17.48,106.6,81,1.07,100
70,punta arenas,CL,5/22/20,41,-53.15,-70.92,80,10.29,90
71,bethel,US,5/22/20,70,41.37,-73.41,64,9.17,1
72,hithadhoo,MV,5/22/20,84.85,-0.6,73.08,77,14.14,100
73,amapa,BR,5/22/20,78.94,1,-52,95,3.83,90
74,korla,CN,5/22/20,76.28,41.76,86.15,22,5.19,90
75,dudinka,RU,5/22/20,60.8,69.41,86.18,48,13.42,1
76,banda aceh,ID,5/22/20,82.09,5.56,95.32,78,5.95,100
77,ribeira grande,PT,5/22/20,60.8,38.52,-28.7,72,5.82,20
78,port lincoln,AU,5/22/20,56.53,-34.73,135.87,74,15.57,64
79,east london,ZA,5/22/20,69.8,-33.02,27.91,77,9.17,0
80,kondinskoye,RU,5/22/20,56.12,59.65,67.41,72,6.06,96
81,kirakira,SB,5/22/20,80.33,-10.45,161.92,85,10.09,31
82,kargasok,RU,5/22/20,58.8,59.06,80.86,62,6.96,100
83,oranjestad,AW,5/22/20,86,12.52,-70.03,70,25.28,40
84,san patricio,MX,5/22/20,71.6,19.22,-104.7,94,2.08,75
85,klaksvik,FO,5/22/20,50,62.23,-6.59,87,18.34,100
86,araouane,ML,5/22/20,104.54,18.9,-3.53,7,19.08,0
87,tias,ES,5/22/20,80.6,28.96,-13.64,51,18.34,20
88,bluff,NZ,5/22/20,52.41,-46.6,168.33,79,14.94,27
89,bandarbeyla,SO,5/22/20,89.4,9.49,50.81,53,24.96,34
90,sinnamary,GF,5/22/20,83.12,5.38,-52.95,76,11.61,72
91,luanda,AO,5/22/20,84.2,-8.84,13.23,74,5.82,20
92,alta floresta,BR,5/22/20,87.8,-9.88,-56.09,66,6.93,58
93,pangnirtung,CA,5/22/20,28.4,66.15,-65.71,58,3.36,20
94,tasiilaq,GL,5/22/20,39.2,65.61,-37.64,80,25.28,90
95,yabelo,ET,5/22/20,65.84,4.88,38.08,75,9.51,87
96,trinidad,BO,5/22/20,80.6,-14.83,-64.9,88,4.7,75
97,kapaa,US,5/22/20,73.4,22.08,-159.32,88,20.8,75
98,mar del plata,AR,5/22/20,57.2,-38,-57.56,67,20.8,40
99,saint anthony,US,5/22/20,62.01,45.02,-93.22,77,9.17,90
100,vitim,RU,5/22/20,53.06,59.45,112.56,47,2.59,39
101,vardo,NO,5/22/20,39.9,70.37,31.11,82,12.21,6
102,victoria,HK,5/22/20,80.01,22.29,114.16,88,3,100
103,ahuimanu,US,5/22/20,77,21.44,-157.84,69,12.75,90
104,marmora,IT,5/22/20,78.8,44.46,7.09,57,5.82,20
105,luderitz,NA,5/22/20,71.6,-26.65,15.16,60,17.22,0
106,geraldton,AU,5/22/20,55.4,-28.77,114.6,58,9.17,0
107,nome,US,5/22/20,48.2,64.5,-165.41,70,9.17,90
108,bud,US,5/22/20,60.8,39.45,-86.18,93,5.79,90
109,longyearbyen,SJ,5/22/20,33.8,78.22,15.64,64,6.93,20
110,paamiut,GL,5/22/20,36.05,61.99,-49.67,88,5.61,89
111,bengkulu,ID,5/22/20,79.61,-3.8,102.27,84,4.05,99
112,piacabucu,BR,5/22/20,82.69,-10.41,-36.43,77,10.76,13
113,ilulissat,GL,5/22/20,42.8,69.22,-51.1,56,6.93,40
114,albania,AL,5/22/20,75.2,41,20,31,19.46,0
115,boshnyakovo,RU,5/22/20,42.01,49.63,142.17,65,8.72,15
116,lasa,IT,5/22/20,68,46.62,10.7,32,6.93,75
117,talnakh,RU,5/22/20,60.8,69.49,88.4,48,13.42,32
118,saint-leu,RE,5/22/20,75.2,-21.15,55.28,73,27.51,20
119,bilma,NE,5/22/20,104.16,18.69,12.92,15,14.9,100
120,sokoni,TZ,5/22/20,80.6,-6.43,39.55,74,20.8,75
121,albany,US,5/22/20,71.01,42.6,-73.97,56,3.06,1
122,te anau,NZ,5/22/20,43.93,-45.42,167.72,85,0.45,78
123,rameshki,RU,5/22/20,39.11,57.34,36.05,98,8.39,100
124,georgetown,MY,5/22/20,80.6,5.41,100.34,94,2.24,20
